,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Magnolia,US,33.2671,-93.2393,75.0,35,75,6.69,broken clouds
80,Hamilton,US,39.1834,-84.5333,72.0,30,1,5.59,clear sky
81,Coquimbo,CL,-29.9533,-71.3436,64.4,68,90,8.05,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,13.8,few clouds
83,Nouakchott,MR,18.0858,-15.9785,80.6,47,94,20.71,overcast clouds
84,Micheweni,TZ,-4.9667,39.8333,81.57,77,76,10.83,broken clouds
85,Upernavik,GL,72.7868,-56.1549,-9.65,83,7,10.96,clear sky
86,Ahuimanu,US,21.4447,-157.8378,71.6,88,90,12.66,light rain
87,Esperance,AU,-33.8667,121.9,62.6,88,22,11.5,few clouds
88,Biltine,TD,14.5333,20.9167,89.26,11,75,10.38,broken clouds
89,Januaria,BR,-15.4833,-44.3667,83.08,58,57,5.03,broken clouds
90,Kodiak,US,57.79,-152.4072,35.6,80,1,6.91,clear sky
91,Hermanus,ZA,-34.4187,19.2345,64.99,91,92,1.01,light rain
92,Ena,JP,35.4498,137.4128,55.0,100,99,2.93,overcast clouds
93,Broome,US,42.2506,-75.833,57.99,37,20,16.11,few clouds
94,Havoysund,NO,70.9963,24.6622,26.6,93,40,5.75,scattered clouds
95,Novaya Zaimka,RU,56.4857,66.9241,33.49,96,100,9.73,overcast clouds
96,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,0,4.61,clear sky
97,Narsaq,GL,60.9167,-46.05,41.0,81,90,4.61,overcast clouds
98,Katsuura,JP,35.1333,140.3,66.2,94,75,11.5,heavy intensity rain
99,Nizhniy Odes,RU,63.6445,54.856,21.18,96,28,2.48,scattered clouds
100,Evensk,RU,61.95,159.2333,11.64,51,100,27.2,overcast clouds
101,Kisangani,CD,0.5167,25.2,75.97,79,100,4.54,overcast clouds
102,Thompson,CA,55.7435,-97.8558,35.6,38,20,2.3,few clouds
103,Barrow,US,71.2906,-156.7887,-9.4,77,1,13.8,haze
104,Orocue,CO,4.7912,-71.3354,93.07,41,100,3.76,overcast clouds
